gas,symbol,molecular_mass,gamma,R,cp,cv,mu,Tc,pc
air,,28.97,1.4,287,1000,716,1.80E-05,132.8,3.76
ammonia,NH3,17.03,1.32,488,2175,1648,1.00E-05,405,11.36
argon,Ar,39.94,1.67,208,519,310,2.30E-05,151.1,4.86
carbon dioxide,CO2,44.01,1.29,189,850,657,1.50E-05,304.1,7.38
carbon monoxide,CO,28.01,1.4,297,1040,741,1.80E-05,133.3,3.49
helium,He,4,1.67,2080,5230,3140,2.00E-05,5.3,0.23
hydrogen,H2,2.02,1.41,4120,14300,10200,9.10E-05,33.3,1.3
methane,CH4,16.04,1.32,519,2230,1690,1.10E-05,191,4.64
nitrogen,N2,28.02,1.4,296,1040,741,1.70E-05,126.2,3.39
oxygen,O2,32,1.4,260,913,653,2.00E-05,154.8,5.07
water vapor,H2O,18.02,1.33,461,1860,1400,1.10E-05,647.3,22.09
